timestamp,x,y,z
0,3.13,4.94,6.09
10,2.75,4.89,5.78
20,2.37,4.85,5.43
30,2.0,4.82,5.23
40,1.77,4.63,5.7
50,1.44,4.82,6.92
60,1.61,5.38,9.19
70,2.89,5.74,12.12
80,4.33,6.26,14.16
90,5.49,6.59,15.08
100,6.35,6.62,15.28
110,6.38,6.22,15.23
120,6.17,5.69,13.94
130,6.0,5.15,12.82
140,6.25,4.59,12.41
150,6.27,4.11,11.87
160,6.3,3.86,10.94
170,6.24,3.8,10.24
180,6.37,3.68,9.88
190,6.61,3.62,9.41
200,6.87,3.49,8.79
210,7.09,3.38,7.98
220,6.98,3.3,7.95
230,6.99,3.24,8.06
240,7.2,2.94,7.54
250,6.67,2.66,6.51
260,6.46,2.38,5.23
270,6.72,2.01,4.49
280,7.45,1.75,3.23
290,8.66,1.47,2.2
300,10.04,1.42,1.41
310,10.39,1.04,1.26
320,9.91,0.66,0.62
330,11.35,-0.02,-2.47
340,12.88,-1.51,-4.94
350,13.23,-3.07,-8.71
360,12.36,-5.05,-12.97
370,11.85,-7.78,-18.48
380,11.82,-10.3,-24.82
390,7.95,-12.97,-25.14
400,0.51,-17.49,-22.35
410,-6.0,-21.07,-16.97
420,-8.52,-25.01,-11.17
430,-9.96,-27.89,-4.85
440,-13.9,-29.3,0.98
450,-20.09,-31.08,8.21
460,-22.25,-31.69,14.06
470,-20.51,-31.17,20.1
480,-21.32,-32.17,26.75
490,-21.26,-31.01,33.92
500,-17.8,-29.4,39.47
510,-12.83,-27.78,42.54
520,-8.06,-26.35,42.24
530,-3.18,-25.37,40.31
540,1.16,-24.39,36.43
550,5.04,-24.07,32.0
560,6.47,-23.45,28.48
570,5.68,-22.8,25.3
580,3.65,-22.24,23.48
590,1.07,-21.79,24.2
600,1.39,-21.55,25.82
610,5.06,-20.72,28.64
620,6.27,-20.01,30.4
630,5.75,-20.26,29.81
640,6.12,-20.32,26.91
650,8.06,-21.28,24.81
660,9.76,-21.27,21.61
670,9.6,-20.79,18.25
680,7.59,-20.2,14.63
690,6.8,-19.24,10.56
700,6.76,-17.65,8.67
710,7.9,-16.04,8.3
720,7.78,-14.44,8.54
730,6.83,-13.05,8.61
740,5.44,-12.14,8.16
750,4.06,-11.43,7.35
760,3.87,-10.9,5.48
770,4.33,-10.33,1.84
780,5.02,-9.25,-1.47
790,5.58,-8.06,-3.25
800,6.13,-6.7,-3.39
810,7.18,-5.75,-3.23
820,7.56,-5.12,-3.73
830,6.88,-4.65,-4.14
840,6.77,-4.39,-4.03
850,7.27,-4.36,-4.96
860,6.18,-4.16,-7.28
870,6.11,-5.35,-8.77
880,3.49,-5.99,-11.72
890,1.61,-6.84,-14.02
900,1.23,-8.26,-14.99
910,0.28,-10.65,-15.24
920,-2.15,-13.23,-14.42
930,-4.64,-15.93,-11.36
940,-7.12,-17.95,-7.32
950,-9.21,-19.61,-2.39
960,-10.57,-20.41,3.07
970,-12.17,-20.74,8.53
980,-13.14,-20.4,12.96
990,-14.31,-19.42,16.65
1000,-15.8,-18.66,18.51
