timestamp,x,y,z
0,1.63,9.52,1.85
10,1.57,9.41,1.98
20,1.54,9.49,2.1
30,1.4,9.48,2.37
40,1.23,9.48,2.7
50,1.19,9.5,3.2
60,1.13,9.5,4.19
70,1.05,9.47,5.33
80,0.93,9.48,5.82
90,0.74,9.43,5.79
100,0.53,9.5,4.91
110,0.53,9.5,3.63
120,0.86,9.57,2.85
130,1.26,9.54,2.24
140,1.55,9.58,1.77
150,1.81,9.54,1.67
160,1.91,9.42,1.55
170,2.25,9.35,1.14
180,2.5,9.33,0.78
190,2.48,9.21,0.64
200,2.19,9.04,0.7
210,1.99,8.86,0.64
220,1.53,8.7,0.12
230,1.29,8.41,-0.59
240,1.46,8.45,-2.68
250,1.24,8.06,-3.69
260,1.19,7.75,-3.95
270,1.16,7.61,-4.38
280,1.36,7.31,-5.49
290,1.79,7.61,-6.51
300,2.36,7.37,-7.7
310,2.42,7.1,-8.05
320,2.24,7.02,-8.18
330,2.0,6.9,-8.43
340,1.36,6.73,-8.61
350,0.84,6.6,-8.55
360,0.51,6.44,-8.67
370,0.36,6.14,-9.41
380,0.23,5.78,-10.39
390,-0.02,5.3,-13.52
400,-0.49,4.56,-18.28
410,-1.83,2.83,-23.24
420,-5.0,-1.25,-26.39
430,-9.2,-6.14,-26.22
440,-12.81,-13.58,-25.48
450,-11.95,-20.91,-23.38
460,-10.28,-30.25,-16.18
470,-6.12,-36.72,-5.29
480,0.63,-38.73,5.09
490,5.25,-36.68,12.18
500,9.05,-32.67,21.32
510,13.68,-26.62,38.07
520,20.33,-19.64,48.99
530,29.86,-13.73,46.22
540,38.68,-10.45,31.69
550,40.62,-6.32,17.55
560,34.22,-6.26,7.27
570,24.47,-6.52,-4.04
580,14.96,-8.37,-3.56
590,7.51,-10.0,4.06
600,4.75,-10.51,12.3
610,6.67,-10.07,17.0
620,10.17,-8.97,16.52
630,12.01,-8.14,12.82
640,13.33,-7.35,8.08
650,13.59,-6.81,4.55
660,12.94,-6.56,3.62
670,11.83,-6.57,5.01
680,10.32,-6.64,7.45
690,8.74,-6.73,9.76
700,7.57,-6.67,11.3
710,6.81,-6.49,10.78
720,7.86,-6.17,12.24
730,8.6,-5.94,10.8
740,10.01,-5.54,12.78
750,13.03,-5.04,15.91
760,18.08,-4.48,19.24
770,24.09,-4.25,22.74
780,31.33,-5.0,23.48
790,36.54,-7.02,19.55
800,38.99,-10.83,14.7
810,38.49,-16.44,12.01
820,32.82,-22.95,9.68
830,23.18,-29.1,8.49
840,13.36,-32.93,6.61
850,6.85,-33.32,3.91
860,-0.72,-29.81,0.51
870,-8.27,-23.03,-2.27
880,-14.03,-15.65,-5.2
890,-17.34,-8.86,-7.27
900,-18.52,-3.59,-6.35
910,-17.56,0.42,-5.58
920,-14.58,3.36,-6.59
930,-12.32,5.01,-7.21
940,-11.44,6.09,-6.21
950,-10.42,6.56,-5.28
960,-9.23,6.84,-4.87
970,-7.3,7.15,-3.85
980,-4.85,7.55,-2.47
990,-2.49,7.96,-1.28
1000,-1.08,8.13,-0.75
