timestamp,x,y,z
0,-1.21,0.54,14.53
10,-1.21,0.44,13.92
20,-0.96,0.31,13.29
30,-0.46,0.33,12.5
40,0.35,0.49,11.76
50,1.07,0.84,11.42
60,1.33,0.8,11.62
70,1.49,0.66,12.25
80,1.24,0.39,12.43
90,1.17,-0.17,11.62
100,0.73,-0.78,9.85
110,0.79,-0.97,7.0
120,1.48,-0.79,4.77
130,2.32,-0.68,2.8
140,3.22,-0.71,1.55
150,4.33,-0.74,0.91
160,6.33,-0.76,0.11
170,8.65,-0.57,-1.1
180,10.62,-0.45,-2.39
190,11.83,-0.34,-3.3
200,12.88,-0.33,-3.95
210,13.99,-0.12,-5.0
220,15.73,0.03,-6.24
230,19.02,0.38,-7.23
240,23.42,0.74,-8.96
250,28.29,0.82,-10.75
260,30.27,0.66,-10.48
270,29.52,0.08,-6.49
280,28.51,-0.51,-1.53
290,27.74,-1.12,1.36
300,26.93,-1.95,1.27
310,26.33,-3.02,0.46
320,24.75,-4.37,-0.08
330,21.78,-5.84,0.32
340,18.19,-7.19,2.59
350,15.44,-8.37,6.12
360,13.07,-9.44,10.81
370,11.54,-10.11,16.37
380,9.78,-10.65,21.14
390,7.08,-11.14,24.16
400,3.65,-11.14,23.94
410,-0.85,-11.06,20.81
420,-6.22,-9.75,18.13
430,-10.17,-7.67,19.18
440,-11.99,-5.36,21.93
450,-17.97,-3.56,21.6
460,-21.88,-1.36,21.58
470,-24.22,0.88,20.79
480,-29.57,2.32,19.79
490,-32.6,3.22,20.16
500,-31.01,3.91,16.27
510,-27.14,4.23,8.54
520,-23.99,4.18,2.3
530,-21.77,3.65,0.22
540,-20.7,2.41,-0.11
550,-19.49,0.66,-2.11
560,-17.7,-1.37,-3.76
570,-14.69,-3.21,-3.67
580,-12.93,-5.98,-1.4
590,-10.87,-8.42,1.56
600,-7.93,-10.19,5.35
610,-7.02,-11.48,12.57
620,-4.92,-11.29,19.92
630,-3.77,-10.81,24.1
640,-2.67,-10.03,24.22
650,-2.4,-9.58,22.07
660,-2.79,-9.47,20.21
670,-3.5,-9.58,15.88
680,-3.67,-10.45,12.53
690,-3.05,-11.61,10.24
700,-1.75,-12.84,8.2
710,0.87,-14.01,6.4
720,5.7,-15.41,6.71
730,11.09,-16.5,7.65
740,16.43,-17.06,8.47
750,21.67,-16.99,8.1
760,27.04,-15.52,8.92
770,30.02,-14.15,9.87
780,30.62,-13.52,9.96
790,30.53,-12.67,9.93
800,30.16,-11.86,10.01
810,29.16,-11.16,10.29
820,27.84,-10.41,10.37
830,25.34,-10.0,9.4
840,23.57,-9.38,7.51
850,22.43,-8.98,4.68
860,22.05,-8.99,2.5
870,21.57,-9.6,-0.22
880,20.2,-10.13,-3.33
890,16.39,-11.35,-5.58
900,11.67,-12.73,-6.06
910,7.2,-13.6,-3.98
920,5.2,-14.2,-2.39
930,3.52,-14.61,-2.32
940,0.17,-15.19,-0.65
950,-3.75,-15.36,2.45
960,-6.88,-14.82,4.97
970,-10.01,-13.94,6.68
980,-11.26,-13.13,8.19
990,-11.11,-12.35,9.2
1000,-10.35,-12.25,9.62
